name,facility_type,abbrev_location,location,latitude,longitude,date_opened,date_closed,location_descr,peak_population,date_peak,link,link2
Kenedy,Department of Justice Internment Camp,"Kenedy, TX","Kenedy, Texas",28.8167,-97.8333,4/1/1942,9/1/1945,"Located 60 miles southeast of San Antonio, Texas, in Karnes County on the site of a closed Civilian Conservation Corps (CCC) camp.",2000,1/1/1943,"https://encyclopedia.densho.org/Kalaheo%20Stockade,%20Kaua'i%20(detention%20facility)",
Kilauea Military Camp,U.S. Army Internment Camp,"Kilauea, HI","Kilauea, Hawai'i",19.432685,-155.2826715,12/7/1941,,Currently comprising approximately 50 acres within Hawai'i Volcanoes National Park. One of two camps used to imprison people of Japanese ancestry in Hawai'i.,,,https://encyclopedia.densho.org/Kilauea%20Military%20Camp%20(detention%20facility),
Kooskia,Department of Justice Internment Camp,"Kooskia, ID","Kooskia, Idaho",46.1333,-115.5833,5/1/1943,5/1/1945,"Located in Clearwater National Forest in North Central Idaho, 40 miles east of the town of Kooskia. Set in a remote, heavily wooded area, the facility had been a highway construction camp sited on an old Civilian Conservation Corps (CCC) camp.",,,https://encyclopedia.densho.org/Kooskia%20(detention%20facility),
"Lihue Plantation, Kaua'i",Other,"Kaua'i, HI","Kaua'i, Hawaii",21.9844223,-159.3711146,,,Shower room in Līhu‘e Plantation gymnasium,1,,"https://encyclopedia.densho.org/Lihue%20Plantation,%20Kaua'i%20(detention%20facility)",
Lordsburg,U.S. Army Internment Camp,"Lordsburg, NM","Lordsburg, New Mexico",32.35,-108.7,6/15/1942,6/23/1944,"Located on 1,300 acres of desert land near Lordsburg in southwest New Mexico.",2500,,https://encyclopedia.densho.org/Lordsburg%20(detention%20facility),
Los Angeles County Jail,Other,"Los Angeles, CA","Los Angeles, California",34.077472,-118.224875,12/7/1941,,"Facility used to confine enemy aliens from Southern California after December 7, 1941",,,https://encyclopedia.densho.org/Los%20Angeles%20County%20Jail%20(detention%20facility),
Manzanar,Concentration Camp,"Manzanar, CA","Manzanar, California",36.7333,-118.0667,6/2/1942,11/21/1945,"Located at 3,900 feet of elevation in the desert of the southern Owens Valley in east-central California, 220 miles north of Los Angeles, 250 miles south of Reno, between the towns Lone Pine and Independence. The 6,000 acres are framed by the Sierra Nevada mountains to the west and the White-Inyo range to the east. Summers are hot, winters cold; annual rainfall is under 6 inches, although the area has rivers fed from mountain runoff. Vegetation is mostly sagebrush.",10046,9/22/1942,https://encyclopedia.densho.org/Manzanar,
Marysville,Temporary Assembly Center,"Marysville, CA","Marysville, California",39.05,-121.55,5/8/1942,6/29/1942,"Located about 5 miles southeast of Marysville, California.",2451,6/2/1942,https://encyclopedia.densho.org/Marysville%20(detention%20facility),
Mayer,Temporary Assembly Center,"Mayer, AZ","Mayer, Arizona",34.3833,-112.2333,5/7/1942,6/2/1942,"Located 75 miles northwest of Phoenix, Arizona, Mayer was set on land that was originally farmland.",245,5/25/1942,https://encyclopedia.densho.org/Mayer_(detention_facility)/,
McNeil Island Penitentiary,U.S. Federal Prison,"McNeil Island, WA","McNeil Island, Washington",47.2,-122.6833,,,"Work prison located on an island in the southern portion of Puget Sound, 10 miles southwest of Tacoma, Washington. Currently a medium-security state correctional facility holding about 1,000 male inmates.",,,https://encyclopedia.densho.org/McNeil%20Island%20Penitentiary%20(detention%20facility),
